002064,华峰氨纶,5.57,0.19,3.53%,5.38,5.38,5.63,5.36,199.39万,28.54万,1.58亿,1.83
002745,木林森,13.20,0.04,0.30%,13.16,13.16,13.45,12.95,194.64万,21.61万,2.84亿,2.95
000429,粤高速A,7.04,-0.01,-0.14%,7.05,7.03,7.08,6.96,176.72万,2.51万,1764.42万,0.19
000550,江铃汽车,13.00,0.82,6.73%,12.18,12.33,13.40,12.12,142.72万,11.64万,1.46亿,2.24
300276,三丰智能,9.43,0.15,1.62%,9.28,9.29,9.44,9.08,134.44万,19.13万,1.77亿,5.27
002737,葵花药业,13.93,0.35,2.58%,13.58,13.86,14.49,13.85,130.03万,18.11万,2.57亿,3.39
002550,千红制药,4.25,0.01,0.24%,4.24,4.25,4.34,4.25,129.91万,5.65万,2422.88万,0.62
000560,我爱我家,3.38,-0.01,-0.29%,3.39,3.39,3.48,3.37,107.79万,16.23万,5557.74万,0.85
002032,苏泊尔,66.54,-0.35,-0.52%,66.89,67.07,67.28,66.41,93.94万,1.73万,1.16亿,0.28
000008,神州高铁,3.02,0.01,0.33%,3.01,3.02,3.03,3.00,76.45万,15.07万,4547.00万,0.56
002099,海翔药业,6.90,0.05,0.73%,6.85,6.87,6.93,6.84,61.47万,18.92万,1.30亿,1.18
002423,中粮资本,8.61,-0.03,-0.35%,8.64,8.66,8.70,8.58,23.28万,2.82万,2436.80万,0.56
000883,湖北能源,3.53,0.00,0.00%,3.53,3.53,3.55,3.52,19.63万,7.31万,2581.22万,0.11
002608,江苏国信,6.40,0.04,0.63%,6.36,6.39,6.48,6.37,-5.06万,3.27万,2100.19万,0.09
300300,汉鼎宇佑,6.10,0.02,0.33%,6.08,6.11,6.15,6.04,-25.05万,15.66万,9542.08万,2.33
000078,海王生物,3.95,0.01,0.25%,3.94,3.96,4.08,3.94,-49.88万,48.49万,1.94亿,1.85
002390,信邦制药,4.48,0.03,0.67%,4.45,4.45,4.58,4.45,-50.26万,10.39万,4685.67万,0.67
000059,华锦股份,4.74,0.02,0.42%,4.72,4.75,4.80,4.73,-70.67万,9.97万,4756.78万,0.62
